Type,adjusted_time_hours,Price
ask,882.0,120.48293553424047
ask,883.0,117.73384311790824
ask,884.0,117.45638489208633
ask,885.0,119.08132820019249
ask,886.0,117.66512595331639
ask,887.0,119.49195837275307
ask,888.0,119.13191586648377
ask,889.0,117.5996705107084
ask,890.0,118.95808944041208
ask,891.0,118.64883499762244
ask,892.0,116.12272928666371
ask,893.0,116.296630859375
ask,894.0,118.3311339198436
ask,895.0,118.67351933431229
ask,896.0,118.98586411308709
ask,897.0,118.7798713235294
ask,898.0,119.46578690127077
ask,899.0,120.97674981835796
ask,900.0,119.6511394941147
ask,901.0,118.5974537037037
ask,902.0,121.34080389768575
ask,903.0,121.49781976744185
ask,904.0,120.89530169329835
ask,905.0,120.98243948742288
ask,906.0,120.43850267379679
ask,907.0,120.10951239008793
ask,908.0,119.86824498198662
ask,909.0,120.54004954582989
ask,910.0,120.74306569343065
ask,911.0,121.03274760383387
ask,912.0,118.99475262368816
ask,913.0,119.49906103286385
ask,914.0,120.38511095204008
ask,915.0,118.89267676767676
ask,916.0,120.40503597122301
ask,917.0,120.69897959183673
ask,918.0,119.86129858040493
ask,919.0,121.01775005996642
ask,920.0,121.47264260768335
ask,921.0,120.22809278350516
ask,922.0,120.1784702549575
ask,923.0,120.76241220634536
