Type,adjusted_time_minutes,ASK Price Predicted
ask,10475,97.245384
ask,10476,96.33131
ask,10477,96.70325
ask,10478,96.93847
ask,10479,96.74865
ask,10480,96.84607
ask,10481,97.02581
ask,10482,97.141914
ask,10483,97.22041
ask,10484,97.277534
ask,10485,97.31921
ask,10486,97.02597
ask,10487,97.15895
ask,10488,96.81788
ask,10489,97.01396
ask,10490,97.139824
ask,10491,97.21623
ask,10492,96.832306
ask,10493,95.95972
ask,10494,96.133286
ask,10495,96.22886
ask,10496,96.59054
ask,10497,96.82839
ask,10498,96.99414
ask,10499,96.794624
ask,10500,96.9975
ask,10501,97.13226
ask,10502,97.2158
ask,10503,97.27382
ask,10504,97.31635
ask,10505,97.346954
ask,10506,97.045425
ask,10507,97.17244
ask,10508,97.05044
ask,10509,97.16579
ask,10510,96.59677
ask,10511,96.58208
ask,10512,95.972435
ask,10513,96.44501
ask,10514,96.422226
ask,10515,96.39755
ask,10516,96.714714
ask,10517,96.92634
ask,10518,96.74509
ask,10519,96.63646
ask,10520,97.21756
ask,10521,96.07301
ask,10522,96.52011
ask,10523,96.81495
ask,10524,96.341774
ask,10525,96.68381
ask,10526,96.591774
ask,10527,96.8483
ask,10528,96.80519
ask,10529,96.67172
ask,10530,96.91291
ask,10531,97.06891
ask,10532,97.08763
ask,10533,96.86419
ask,10534,97.04675
ask,10535,96.841705
ask,10536,97.02576
ask,10537,97.14636
ask,10538,97.222595
ask,10539,97.277054
ask,10540,97.31761
ask,10541,97.34696
ask,10542,97.691635
ask,10543,97.26979
ask,10544,97.32158
ask,10545,97.359535
ask,10546,97.69938
ask,10547,97.594604
ask,10548,97.855354
ask,10549,97.70912
ask,10550,97.42189
ask,10551,97.43256
ask,10552,97.43332
ask,10553,97.42471
ask,10554,97.41752
ask,10555,97.73797
ask,10556,97.94706
ask,10557,98.086525
ask,10558,98.18769
ask,10559,98.26193
ask,10560,98.31485
ask,10561,98.35159
ask,10562,98.37674
ask,10563,98.39383
ask,10564,98.08099
ask,10565,98.20267
ask,10566,98.27822
ask,10567,98.32009
ask,10568,98.259705
ask,10569,98.277855
ask,10570,98.002716
ask,10571,98.14726
ask,10572,98.23791
ask,10573,98.29117
ask,10574,98.32912
ask,10575,98.03394
ask,10576,98.1695
ask,10577,98.06349
ask,10578,98.18003
ask,10579,98.06137
ask,10580,98.178986
ask,10581,98.25701
ask,10582,97.98248
ask,10583,98.131874
ask,10584,97.904366
ask,10585,98.075775
ask,10586,98.18667
ask,10587,98.25583
ask,10588,97.98115
ask,10589,98.13229
ask,10590,98.22991
ask,10591,98.28756
ask,10592,98.32779
ask,10593,98.35818
ask,10594,98.3805
ask,10595,98.39622
ask,10596,98.08263
ask,10597,97.87943
ask,10598,98.068756
ask,10599,98.181145
ask,10600,98.24904
ask,10601,97.974724
ask,10602,98.12717
ask,10603,98.22609
ask,10604,98.28472
ask,10605,98.32567
ask,10606,98.35659
ask,10607,98.37934
ask,10608,98.39537
ask,10609,98.40642
ask,10610,97.927864
ask,10611,98.10369
ask,10612,97.87759
ask,10613,97.99873
ask,10614,98.13349
ask,10615,97.940674
ask,10616,97.97729
ask,10617,97.80037
ask,10618,97.89798
ask,10619,98.06734
ask,10620,98.17409
ask,10621,97.92286
ask,10622,98.090744
ask,10623,98.201004
ask,10624,98.26787
ask,10625,98.31457
ask,10626,97.702065
ask,10627,97.95457
ask,10628,97.84418
ask,10629,98.02759
ask,10630,97.82411
ask,10631,97.69375
ask,10632,97.49086
ask,10633,97.79943
ask,10634,97.34621
ask,10635,97.69606
ask,10636,97.92663
ask,10637,97.74716
ask,10638,97.963936
ask,10639,98.11148
ask,10640,98.20615
ask,10641,98.27262
ask,10642,98.32112
ask,10643,98.35581
ask,10644,98.37994
ask,10645,98.26648
ask,10646,98.32324
ask,10647,98.35888
ask,10648,98.37922
ask,10649,98.39326
ask,10650,97.75642
ask,10651,97.66688
ask,10652,97.60235
ask,10653,97.867256
ask,10654,98.03299
ask,10655,98.14322
ask,10656,98.22539
ask,10657,97.768906
ask,10658,97.99527
ask,10659,97.814766
ask,10660,98.01164
ask,10661,98.1402
ask,10662,97.898865
ask,10663,97.74816
ask,10664,97.97695
ask,10665,97.793976
ask,10666,97.34847
ask,10667,97.70958
ask,10668,97.88838
ask,10669,98.0447
ask,10670,98.11479
ask,10671,98.21072
ask,10672,97.954895
ask,10673,98.02485
ask,10674,97.78585
ask,10675,97.99818
ask,10676,98.13311
ask,10677,97.893105
ask,10678,98.06759
ask,10679,97.5365
ask,10680,97.835106
ask,10681,98.026085
ask,10682,98.14051
ask,10683,98.22176
ask,10684,98.28354
ask,10685,98.00471
ask,10686,98.15064
ask,10687,98.24318
ask,10688,97.97253
ask,10689,98.12374
ask,10690,98.22254
ask,10691,98.281975
ask,10692,97.99944
ask,10693,98.14479
ask,10694,97.91399
ask,10695,98.08257
ask,10696,98.191284
ask,10697,98.16147
ask,10698,98.244194
ask,10699,97.97757
ask,10700,97.80522
ask,10701,98.01634
